name_ja,name_en,shp_name
3次メッシュコード,mesh_code_3rd,G02_001
1月降水量,precipitation_Jan,G02_002
2月降水量,precipitation_Feb,G02_003
3月降水量,precipitation_Mar,G02_004
4月降水量,precipitation_Apr,G02_005
5月降水量,precipitation_May,G02_006
6月降水量,precipitation_Jun,G02_007
7月降水量,precipitation_Jul,G02_008
8月降水量,precipitation_Aug,G02_009
9月降水量,precipitation_Sep,G02_010
10月降水量,precipitation_Oct,G02_011
11月降水量,precipitation_Nov,G02_012
12月降水量,precipitation_Dec,G02_013
年降水量,precipitation_year,G02_014
1月最高気温,maximum_temperature_Jan,G02_015
1月最低気温,minimum_temperature_Jan,G02_016
1月平均気温,mean_temperature_Jan,G02_017
2月最高気温,maximum_temperature_Feb,G02_018
2月最低気温,minimum_temperature_Feb,G02_019
2月平均気温,mean_temperature_Feb,G02_020
3月最高気温,maximum_temperature_Mar,G02_021
3月最低気温,minimum_temperature_Mar,G02_022
3月平均気温,mean_temperature_Mar,G02_023
4月最高気温,maximum_temperature_Apr,G02_024
4月最低気温,minimum_temperature_Apr,G02_025
4月平均気温,mean_temperature_Apr,G02_026
5月最高気温,maximum_temperature_May,G02_027
5月最低気温,minimum_temperature_May,G02_028
5月平均気温,mean_temperature_May,G02_029
6月最高気温,maximum_temperature_Jun,G02_030
6月最低気温,minimum_temperature_Jun,G02_031
6月平均気温,mean_temperature_Jun,G02_032
7月最高気温,maximum_temperature_Jul,G02_033
7月最低気温,minimum_temperature_Jul,G02_034
7月平均気温,mean_temperature_Jul,G02_035
8月最高気温,maximum_temperature_Aug,G02_036
8月最低気温,minimum_temperature_Aug,G02_037
8月平均気温,mean_temperature_Aug,G02_038
9月最高気温,maximum_temperature_Sep,G02_039
9月最低気温,minimum_temperature_Sep,G02_040
9月平均気温,mean_temperature_Sep,G02_041
10月最高気温,maximum_temperature_Oct,G02_042
10月最低気温,minimum_temperature_Oct,G02_043
10月平均気温,mean_temperature_Oct,G02_044
11月最高気温,maximum_temperature_Nov,G02_045
11月最低気温,minimum_temperature_Nov,G02_046
11月平均気温,mean_temperature_Nov,G02_047
12月最高気温,maximum_temperature_Dec,G02_048
12月最低気温,minimum_temperature_Dec,G02_049
12月平均気温,mean_temperature_Dec,G02_050
年平均最高気温,maximum_temperature_year,G02_051
年平均最低気温,minimum_temperature_year,G02_052
年平均気温,mean_temperature_year,G02_053
1月最深積雪,maximum_snow_depth_Jan,G02_054
2月最深積雪,maximum_snow_depth_Feb,G02_055
3月最深積雪,maximum_snow_depth_Mar,G02_056
12月最深積雪,maximum_snow_depth_Dec,G02_057
年最深積雪,maximum_snow_depth_year,G02_058
1月日照時間,sunshine_duration_Jan,G02_059
2月日照時間,sunshine_duration_Feb,G02_060
3月日照時間,sunshine_duration_Mar,G02_061
4月日照時間,sunshine_duration_Apr,G02_062
5月日照時間,sunshine_duration_May,G02_063
6月日照時間,sunshine_duration_Jun,G02_064
7月日照時間,sunshine_duration_Jul,G02_065
8月日照時間,sunshine_duration_Aug,G02_066
9月日照時間,sunshine_duration_Sep,G02_067
10月日照時間,sunshine_duration_Oct,G02_068
11月日照時間,sunshine_duration_Nov,G02_069
12月日照時間,sunshine_duration_Dec,G02_070
年合計日照時間,sunshine_duration_year,G02_071
1月全天日射量,global_solar_radiation_Jan,G02_072
2月全天日射量,global_solar_radiation_Feb,G02_073
3月全天日射量,global_solar_radiation_Mar,G02_074
4月全天日射量,global_solar_radiation_Apr,G02_075
5月全天日射量,global_solar_radiation_May,G02_076
6月全天日射量,global_solar_radiation_Jun,G02_077
7月全天日射量,global_solar_radiation_Jul,G02_078
8月全天日射量,global_solar_radiation_Aug,G02_079
9月全天日射量,global_solar_radiation_Sep,G02_080
10月全天日射量,global_solar_radiation_Oct,G02_081
11月全天日射量,global_solar_radiation_Nov,G02_082
12月全天日射量,global_solar_radiation_Dec,G02_083
年平均全天日射量,global_solar_radiation_year,G02_084
